designation,designation_metric,W_lb_ft,A_in2,d_in,tw_in,bf_in,tf_in,Ix_in4,Sx_in3,rx_in,Zx_in3,Iy_in4,Sy_in3,ry_in,Zy_in3,J_in4,Cw_in6,rts_in,ho_in
W44X335,W1100X499,335,98.5,44,1.03,15.9,1.77,31100,1410,17.8,1620,1200,150,3.49,236,74.7,535000,4.24,42.2
W44X290,W1100X433,290,85.4,43.6,0.865,15.8,1.58,27000,1240,17.8,1410,1040,132,3.49,205,50.9,461000,4.2,42
W44X262,W1100X390,262,77.2,43.3,0.785,15.8,1.42,24100,1110,17.7,1270,923,117,3.47,182,37.3,405000,4.17,41.9
W44X230,W1100X343,230,67.8,42.9,0.71,15.8,1.22,20800,971,17.5,1100,796,101,3.43,157,24.9,346000,4.13,41.7
W40X655,W1000X976,655,193,43.6,1.97,16.9,3.54,56500,2590,17.1,3080,2870,340,3.86,542,589,1.15e+06,4.71,40.1
W40X593,W1000X883,593,174,43,1.79,16.7,3.23,50400,2340,17,2760,2520,302,3.8,481,445,997000,4.63,39.8
W40X503,W1000X748,503,148,42.1,1.54,16.4,2.76,41600,1980,16.8,2320,2040,249,3.72,394,277,789000,4.5,39.3
W40X431,W1000X642,431,127,41.3,1.34,16.2,2.36,34800,1690,16.6,1960,1690,208,3.65,328,177,638000,4.41,38.9
W40X397,W1000X591,397,117,41,1.22,16.1,2.2,32000,1560,16.6,1800,1540,191,3.64,300,142,579000,4.38,38.8
W40X372,W1000X554,372,110,40.6,1.16,16.1,2.05,29600,1460,16.5,1680,1420,177,3.6,277,116,528000,4.33,38.6
W40X362,W1000X539,362,106,40.6,1.12,16,2.01,28900,1420,16.5,1640,1380,173,3.6,270,109,513000,4.33,38.6
W40X324,W1000X483,324,95.3,40.2,1,15.9,1.81,25600,1280,16.4,1460,1220,153,3.58,239,79.4,448000,4.27,38.4
W40X297,W1000X443,297,87.3,39.8,0.93,15.8,1.65,23200,1170,16.3,1330,1090,138,3.54,215,61.2,399000,4.22,38.2
W40X277,W1000X412,277,81.5,39.7,0.83,15.8,1.58,21900,1100,16.4,1250,1040,132,3.58,204,51.5,379000,4.25,38.1
W40X249,W1000X371,249,73.5,39.4,0.75,15.8,1.42,19600,993,16.3,1120,926,118,3.55,182,38.1,334000,4.21,38
W40X215,W1000X321,215,63.5,39,0.65,15.8,1.22,16700,859,16.2,964,803,101,3.54,156,24.8,284000,4.19,37.8
W40X199,W1000X296,199,58.8,38.7,0.65,15.8,1.07,14900,770,16,869,695,88.2,3.45,137,18.3,246000,4.12,37.6
W40X392,W1000X584,392,116,41.6,1.42,12.4,2.52,29900,1440,16.1,1710,803,130,2.64,212,172,306000,3.3,39.1
W40X331,W1000X494,331,97.7,40.8,1.22,12.2,2.13,24700,1210,15.9,1430,644,106,2.57,172,105,241000,3.21,38.7
W40X327,W1000X486,327,95.9,40.8,1.18,12.1,2.13,24500,1200,16,1410,640,105,2.58,170,103,239000,3.21,38.7
W40X294,W1000X438,294,86.2,40.4,1.06,12,1.93,21900,1080,15.9,1270,562,93.5,2.55,150,76.6,208000,3.16,38.5
W40X278,W1000X415,278,82.3,40.2,1.03,12,1.81,20500,1020,15.8,1190,521,87.1,2.52,140,65,192000,3.13,38.4
